"EbayEnterprise_Eb2ccore_Request_Failed", "The previous request could not be completed. Please try again."
"EbayEnterprise_Eb2cCore_Api_Validator_Invalid_Hostname", "API connection failed. Invalid API Hostname"
"EbayEnterprise_Eb2cCore_Api_Validator_Invalid_Store_Id", "API connection failed. Invalid Store Id."
"EbayEnterprise_Eb2cCore_Api_Validator_Invalid_Api_Key", "API connection failed. Invalid API Key."
"EbayEnterprise_Eb2cCore_Api_Validator_Network_Timeout", "API connection timed out. Please try again."
"EbayEnterprise_Eb2cCore_Api_Validator_Unknown_Failure", "API connection could not be validated. Please check the settings and try again."
"EbayEnterprise_Eb2cCore_Api_Validator_Success", "API connection successful."
"EbayEnterprise_Eb2cCore_Api_Validation_Invalid_Settings", "Missing API settings: %s"
"EbayEnterprise_Eb2cCore_Sftp_Validation_Invalid_Settings", "Missing or invalid SFTP settings: %s"
"EbayEnterprise_Eb2cCore_Sftp_Invalid_Connection", "SFTP connection failed. Could not connect to host."
"EbayEnterprise_Eb2cCore_Sftp_Invalid_Authentication_Configuration", "SFTP connection failed. Invalid username/key."
"EbayEnterprise_Eb2cCore_Sftp_Conection_Success", "SFTP connection successful."
"EbayEnterprise_Eb2cCore_Sftp_Connection_Failed", "SFTP connection could not be validated."
